atlas,column_index,label_id,feature_name
AAL3,0,1,Precentral_L
AAL3,1,2,Precentral_R
AAL3,2,3,Frontal_Sup_2_L
AAL3,3,4,Frontal_Sup_2_R
AAL3,4,5,Frontal_Mid_2_L
AAL3,5,6,Frontal_Mid_2_R
AAL3,6,7,Frontal_Inf_Oper_L
AAL3,7,8,Frontal_Inf_Oper_R
AAL3,8,9,Frontal_Inf_Tri_L
AAL3,9,10,Frontal_Inf_Tri_R
AAL3,10,11,Frontal_Inf_Orb_2_L
AAL3,11,12,Frontal_Inf_Orb_2_R
AAL3,12,13,Rolandic_Oper_L
AAL3,13,14,Rolandic_Oper_R
AAL3,14,15,Supp_Motor_Area_L
AAL3,15,16,Supp_Motor_Area_R
AAL3,16,17,Olfactory_L
AAL3,17,18,Olfactory_R
AAL3,18,19,Frontal_Sup_Medial_L
AAL3,19,20,Frontal_Sup_Medial_R
AAL3,20,21,Frontal_Med_Orb_L
AAL3,21,22,Frontal_Med_Orb_R
AAL3,22,23,Rectus_L
AAL3,23,24,Rectus_R
AAL3,24,25,OFCmed_L
AAL3,25,26,OFCmed_R
AAL3,26,27,OFCant_L
AAL3,27,28,OFCant_R
AAL3,28,29,OFCpost_L
AAL3,29,30,OFCpost_R
AAL3,30,31,OFClat_L
AAL3,31,32,OFClat_R
AAL3,32,33,Insula_L
AAL3,33,34,Insula_R
AAL3,34,37,Cingulate_Mid_L
AAL3,35,38,Cingulate_Mid_R
AAL3,36,39,Cingulate_Post_L
AAL3,37,40,Cingulate_Post_R
AAL3,38,41,Hippocampus_L
AAL3,39,42,Hippocampus_R
AAL3,40,43,ParaHippocampal_L
AAL3,41,44,ParaHippocampal_R
AAL3,42,45,Amygdala_L
AAL3,43,46,Amygdala_R
AAL3,44,47,Calcarine_L
AAL3,45,48,Calcarine_R
AAL3,46,49,Cuneus_L
AAL3,47,50,Cuneus_R
AAL3,48,51,Lingual_L
AAL3,49,52,Lingual_R
AAL3,50,53,Occipital_Sup_L
AAL3,51,54,Occipital_Sup_R
AAL3,52,55,Occipital_Mid_L
AAL3,53,56,Occipital_Mid_R
AAL3,54,57,Occipital_Inf_L
AAL3,55,58,Occipital_Inf_R
AAL3,56,59,Fusiform_L
AAL3,57,60,Fusiform_R
AAL3,58,61,Postcentral_L
AAL3,59,62,Postcentral_R
AAL3,60,63,Parietal_Sup_L
AAL3,61,64,Parietal_Sup_R
AAL3,62,65,Parietal_Inf_L
AAL3,63,66,Parietal_Inf_R
AAL3,64,67,SupraMarginal_L
AAL3,65,68,SupraMarginal_R
AAL3,66,69,Angular_L
AAL3,67,70,Angular_R
AAL3,68,71,Precuneus_L
AAL3,69,72,Precuneus_R
AAL3,70,73,Paracentral_Lobule_L
AAL3,71,74,Paracentral_Lobule_R
AAL3,72,75,Caudate_L
AAL3,73,76,Caudate_R
AAL3,74,77,Putamen_L
AAL3,75,78,Putamen_R
AAL3,76,79,Pallidum_L
AAL3,77,80,Pallidum_R
AAL3,78,83,Heschl_L
AAL3,79,84,Heschl_R
AAL3,80,85,Temporal_Sup_L
AAL3,81,86,Temporal_Sup_R
AAL3,82,87,Temporal_Pole_Sup_L
AAL3,83,88,Temporal_Pole_Sup_R
AAL3,84,89,Temporal_Mid_L
AAL3,85,90,Temporal_Mid_R
AAL3,86,91,Temporal_Pole_Mid_L
AAL3,87,92,Temporal_Pole_Mid_R
AAL3,88,93,Temporal_Inf_L
AAL3,89,94,Temporal_Inf_R
AAL3,90,95,Cerebellum_Crus1_L
AAL3,91,96,Cerebellum_Crus1_R
